Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6
ENSG00000006432,4864,5186,4651,4411,4031,4891
ENSG00000006451,1454,1683,1459,1239,1107,1512
ENSG00000006453,1356,1565,1306,1825,1569,2031
ENSG00000006459,754,812,716,1708,1716,2072
ENSG00000006468,33,45,40,40,25,24
ENSG00000006530,798,880,863,1164,1196,1331
ENSG00000006534,1208,1083,1514,1336,1182,1037
ENSG00000006555,0,0,0,1,0,0
ENSG00000006576,1136,1242,1262,1326,1258,1252
ENSG00000006606,14,33,19,17,22,55
ENSG00000006607,730,910,736,749,719,1031
ENSG00000006611,699,734,791,703,633,703
ENSG00000006625,368,326,434,1076,1046,1287
ENSG00000006634,602,649,668,1949,1808,2081
ENSG00000006638,14,8,17,5,10,17
ENSG00000006652,1217,1297,1126,1681,1594,1889
ENSG00000006659,0,0,0,0,0,0
ENSG00000006695,658,628,573,630,603,941
ENSG00000006704,1912,1955,1584,2317,2141,4235
ENSG00000006712,3601,3627,3548,4142,3782,5138
ENSG00000006715,2307,2715,2148,1774,1702,1965
ENSG00000006740,160,110,213,595,548,589
ENSG00000006744,1922,2206,1864,2700,2425,3768
ENSG00000006747,54,56,79,43,37,15
ENSG00000006756,24,14,25,17,25,33
ENSG00000006757,238,185,250,316,239,312
ENSG00000006788,1013,1137,834,790,836,1475
ENSG00000006831,13599,14979,12561,11043,10320,13552
ENSG00000006837,21,42,29,34,28,48
ENSG00000007001,14,16,13,16,5,13
ENSG00000007038,5,6,5,4,3,3
ENSG00000007047,2950,2770,2531,1001,861,1398
ENSG00000007062,3,4,5,3,2,4
ENSG00000007080,2196,1885,2173,3525,3145,5807
ENSG00000007129,0,0,0,0,1,0
ENSG00000007168,2665,2993,2526,2440,2428,3007
ENSG00000007171,25,25,35,124,103,212
ENSG00000007174,5,6,5,19,16,8
ENSG00000007202,6498,6680,6614,7393,6731,8497
ENSG00000007216,0,0,0,0,0,0
ENSG00000007237,570,590,590,349,340,303
ENSG00000007255,725,603,728,277,271,407
ENSG00000007264,1,0,0,0,0,0
ENSG00000007306,0,0,0,0,0,0
ENSG00000007312,0,0,0,0,0,2
ENSG00000007314,14,7,1,9,15,34
ENSG00000007341,532,464,424,820,669,938
ENSG00000007350,0,0,0,0,0,1
ENSG00000007372,24,18,32,40,29,44
ENSG00000007376,1596,1546,1549,1541,1420,3105
ENSG00000007384,4565,4023,3583,2080,1855,2794
ENSG00000007392,1341,1429,1380,1722,1678,1889
ENSG00000007402,533,483,639,648,526,599
ENSG00000007516,855,847,800,634,567,886
ENSG00000007520,1718,1772,1656,2261,1758,3202
ENSG00000007541,1558,1333,1534,1272,1151,2003
ENSG00000007545,1239,1244,1122,1163,1108,1617
ENSG00000007866,9124,8818,8320,5221,4837,7049
ENSG00000007908,1,0,1,0,0,0
ENSG00000007923,1270,1431,1243,1480,1491,2143
ENSG00000007933,0,0,0,0,0,0
ENSG00000007944,877,938,783,525,421,568
ENSG00000007952,4,0,2,7,1,4
ENSG00000007968,64,53,160,1347,1160,1206
ENSG00000008018,3204,3268,3113,4217,4046,5067
ENSG00000008056,52,59,51,91,80,99
ENSG00000008083,1608,1665,1470,1174,1004,1867
ENSG00000008086,665,718,579,261,242,231
ENSG00000008118,46,45,38,13,13,12
ENSG00000008128,300,285,261,184,155,272
ENSG00000008130,1491,1387,1432,3022,2750,4810
ENSG00000008196,0,0,2,1,1,0
ENSG00000008197,0,0,0,2,2,0
ENSG00000008226,54,65,93,94,97,282
ENSG00000008256,3786,3900,3603,5577,4961,6187
ENSG00000008277,301,292,354,450,457,417
ENSG00000008282,1080,1143,1185,1976,1738,2204
ENSG00000008283,1364,1332,1333,1612,1477,2281
ENSG00000008294,5532,6162,4859,7708,7737,14027
ENSG00000008300,3561,3308,2785,2193,1902,3889
ENSG00000008311,1265,1217,1333,1118,1049,1152
ENSG00000008323,17,16,32,16,34,45
ENSG00000008324,724,668,739,1034,961,1152
ENSG00000008382,387,374,521,393,299,471
ENSG00000008394,446,437,634,2072,1886,2681
ENSG00000008405,1664,1914,1794,1729,1432,1685
ENSG00000008438,30,24,15,14,17,32
ENSG00000008441,2369,2060,2124,2691,2312,3389
ENSG00000008513,4605,4741,3953,1917,1758,2625
ENSG00000008516,359,312,303,251,223,417
ENSG00000008517,8107,6651,5886,5042,4242,4739
ENSG00000008710,7360,6855,6703,6165,5597,11831
ENSG00000008735,318,261,357,1568,1455,2301
ENSG00000008838,2718,2723,2818,3644,3290,5348
ENSG00000008853,838,819,824,647,632,894
ENSG00000008869,1954,2156,1688,1651,1612,1996
ENSG00000008952,2585,2689,2604,1938,1711,2356
ENSG00000008988,30375,31468,31393,38563,35011,51868
ENSG00000009307,28967,30809,27414,27927,26284,31076
ENSG00000009335,4205,4682,3840,3475,3295,4477
ENSG00000009413,2056,2546,1764,1197,1194,1407
ENSG00000009694,28,45,62,48,51,21
ENSG00000009709,390,330,356,414,366,431
ENSG00000009724,105,107,118,109,111,120
ENSG00000009765,1,1,0,2,0,0
ENSG00000009780,191,213,228,162,130,221
ENSG00000009790,6,4,4,2,6,6
ENSG00000009830,2282,2429,2078,2264,2116,3122
ENSG00000009844,2001,2435,2048,1957,1748,2098
ENSG00000009950,102,78,135,194,160,333
ENSG00000009954,4384,4594,4530,7945,7176,8445
ENSG00000010017,1836,1985,1763,1545,1477,1807
ENSG00000010030,128,130,128,100,75,226
ENSG00000010072,794,946,766,857,834,1122
ENSG00000010165,1684,1961,1791,2282,2279,3841
ENSG00000010219,805,758,902,1622,1470,2000
ENSG00000010244,5410,6133,5025,7458,7542,8420
ENSG00000010256,7296,7894,7507,10703,9757,12668
ENSG00000010270,1051,1083,1131,1062,874,1341
ENSG00000010278,6214,6171,9014,9138,8711,14476
ENSG00000010282,2,1,1,3,3,11
ENSG00000010292,3973,4035,4949,16031,14625,15414
ENSG00000010295,90,122,86,47,42,51
ENSG00000010310,131,142,137,84,88,144
ENSG00000010318,548,621,533,1033,896,964
ENSG00000010319,336,318,634,260,247,125
ENSG00000010322,9730,9383,10077,10068,8915,11101
ENSG00000010327,8,9,4,10,4,21
ENSG00000010361,117,96,122,96,90,144
ENSG00000010379,39,69,43,15,6,23
ENSG00000010404,4234,4791,4429,3296,3182,5244
ENSG00000010438,2,0,0,0,0,2
ENSG00000010539,757,863,739,909,790,1112
ENSG00000010610,131,91,95,69,62,60
ENSG00000010626,287,272,338,288,284,308
ENSG00000010671,7,5,8,5,4,3
ENSG00000010704,6,10,3,1,2,0
ENSG00000010803,1409,1468,1623,1956,1887,2608
ENSG00000010810,1331,1382,1327,1149,1062,1216
ENSG00000010818,2689,3161,2217,1458,1464,1628
ENSG00000010932,0,0,0,0,0,0
ENSG00000011007,1133,1219,1036,2158,1894,3252
ENSG00000011009,3490,3569,2899,2229,2034,3227
ENSG00000011021,5146,5259,4060,2371,2287,4066
ENSG00000011028,2874,2425,3121,1950,1865,2993
ENSG00000011052,5,7,0,4,6,3
ENSG00000011083,1,0,0,0,0,1
ENSG00000011105,5208,5201,5620,3263,2911,5379
ENSG00000011114,1477,1581,1438,1040,943,1231
ENSG00000011132,825,767,696,669,599,1040
ENSG00000011143,861,791,807,1189,1125,1557
ENSG00000011198,947,1086,879,1373,1333,1908
ENSG00000011201,201,185,183,316,291,625
ENSG00000011243,2348,2461,2331,1534,1334,1723
ENSG00000011258,662,703,598,982,934,1121
ENSG00000011260,575,653,677,2713,2508,3388
ENSG00000011275,3903,4200,3807,4454,4084,5760
ENSG00000011295,528,602,625,1271,1097,1698
ENSG00000011304,15780,13848,15030,21895,20328,35350
ENSG00000011332,314,269,301,356,276,502
ENSG00000011347,75,114,120,724,670,855
ENSG00000011376,1494,1609,1485,1942,1644,2225
ENSG00000011405,3495,4185,3319,2594,2501,3176
ENSG00000011422,1232,1266,1061,637,560,1665
ENSG00000011426,1207,1240,2016,4512,4280,4471
ENSG00000011451,2990,2835,2680,2808,2603,3924
ENSG00000011454,2884,3138,2700,2494,2197,2374
ENSG00000011465,1,0,8,0,1,25
ENSG00000011478,912,821,831,911,810,1392
ENSG00000011485,2202,2189,2294,3391,3004,4276
ENSG00000011523,537,558,582,562,505,643
ENSG00000011566,1587,1790,1574,1743,1643,2221
ENSG00000011590,26,26,35,53,57,95
ENSG00000011600,0,0,0,0,0,0
ENSG00000011638,816,871,715,664,613,869
ENSG00000011677,608,767,542,396,387,401
ENSG00000012048,207,196,415,2190,1985,2606
ENSG00000012061,1212,1280,1319,1531,1479,2614
ENSG00000012124,2530,2443,1791,4094,4219,9317
ENSG00000012171,635,574,754,492,425,617
ENSG00000012174,359,377,315,511,470,568
ENSG00000012211,1511,1464,1245,1454,1257,1854
ENSG00000012223,8,11,7,4,5,9
ENSG00000012232,2307,2389,2402,4244,3672,6064
ENSG00000012504,0,0,0,0,1,0
ENSG00000012660,3066,3170,3722,6383,6041,7863
ENSG00000012779,1459,1526,1618,1175,1036,1140
ENSG00000012817,0,0,0,0,0,1
ENSG00000012822,5360,5427,5317,2869,2856,3993
ENSG00000012963,320,349,441,1133,1025,1279
ENSG00000012983,2051,2371,2113,2967,2653,3415
ENSG00000013016,805,743,919,737,671,1075
ENSG00000013275,5708,5203,5309,6603,6023,10713
ENSG00000013288,2597,2514,2632,1008,895,1452
ENSG00000013293,0,0,0,0,0,0
ENSG00000013297,21,14,9,3,11,13
ENSG00000013306,9923,9635,9289,12404,11171,18723
ENSG00000013364,7494,8123,6816,2580,2196,4572
ENSG00000013374,1065,1087,1108,1729,1550,1840
ENSG00000013375,836,816,834,984,929,933
ENSG00000013392,211,244,228,179,140,148
ENSG00000013441,1395,1459,1463,1802,1726,1801
ENSG00000013503,350,370,327,615,561,671
ENSG00000013523,823,852,588,988,947,1071
ENSG00000013561,637,658,584,676,637,817
ENSG00000013563,907,930,846,470,431,760
ENSG00000013573,8250,8018,8774,13332,12712,20397
ENSG00000013583,997,1072,1302,1732,1688,2121
ENSG00000013588,2718,3086,3463,10054,9596,14603
ENSG00000013619,121,142,120,138,155,225
ENSG00000013725,4,6,10,2,0,4
ENSG00000013810,694,586,1050,4751,4296,5310
ENSG00000014123,866,978,883,932,803,1034
ENSG00000014138,303,298,379,1094,1012,1341
ENSG00000014164,2299,2204,1906,2271,2070,3755
ENSG00000014216,7916,8015,7601,4678,4297,5765
ENSG00000014257,0,1,0,0,0,0
